Customer_ID,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score
1006,Matthias Blamontb,38.0,354656948.0,Journalist,16756.18,1331.3483333333334,9.0,6.0,22.0,16.0,"Credit-Builder Loan, and Payday Loan",48.0,94.0,10.66,64.0,Standard,1941.73,31.727384192551852,185.5,Yes,27.44208910654816,45.30106826949194,Low_spent_Small_value_payments,314.62666726178054,Poor
1007,Soyoung Kimu,48.0,964812710.0,Manager,21212.91,1496.7425,3.0,4.0,10.0,24.0,"Home Equity Loan, Mortgage Loan, and Student Loan",18.625,155.0,5.63,8.0,Standard,993.15,36.3137388423734,349.5,No,45.74570037068675,30.3734719141272,Low_spent_Small_value_payments,285.60708654462513,Standard
1008,Koht,37.0,802194704.0,Developer,33540.43,2655.035833333333,6.0,3.0,17.0,0.0,No Data,25.625,90.0,14.11,76.0,Standard,1138.97,28.688271916559394,295.5,Yes,0.0,50.930150099663045,High_spent_Small_value_payments,362.40736851529675,Standard
1009,Edd,22.0,891062189.0,Accountant,80983.64,6692.636666666666,6.0,3.0,15.0,32.0,"Credit-Builder Loan, Student Loan, Not Specified, and Student Loan",19.0,146.0,17.285,56.0,Standard,982.44,34.677793183723324,334.5,Yes,188.45659522353543,101.12020124815513,High_spent_Medium_value_payments,523.0001486416392,Standard
1011,Terry Wadeu,44.0,422130011.0,Writer,104142.56,8433.546666666667,3.0,5.0,5.0,24.0,"Personal Loan, Auto Loan, and Auto Loan",18.75,117.0,15.78,48.0,Standard,1371.8,33.61163092078993,182.5,Yes,257.7386460249556,102.48803392235304,Low_spent_Medium_value_payments,445.78783133067117,Standard
1013,Natalie Thomasp,30.0,335624040.0,Mechanic,30022.71,2684.8925,3.0,7.0,6.0,32.0,"Home Equity Loan, Mortgage Loan, Not Specified, and Personal Loan",9.75,19.0,2.935,8.0,Good,1071.33,33.41717626885932,314.5,No,62.22228530782847,53.34228236180248,Low_spent_Large_value_payments,356.8118145419209,Standard
1014,Alistair Barrl,55.0,766296741.0,Entrepreneur,60244.72,5197.393333333333,6.0,6.0,2.0,24.0,"Payday Loan, Mortgage Loan, and Home Equity Loan",29.0,141.0,7.155,15.0,Good,989.42,34.78272013975016,269.5,No,105.66247874250936,49.0652580521066,High_spent_Medium_value_payments,458.5868515705276,Good
1015,Kellya,25.0,966789490.0,Entrepreneur,26104.48,1995.3733333333328,4.0,4.0,14.0,56.0,"Personal Loan, Mortgage Loan, Not Specified, Auto Loan, Debt Consolidation Loan, Credit-Builder Loan, and Auto Loan",11.25,115.0,10.01,69.0,Standard,377.32,34.17215033193687,78.5,Yes,87.21995047930777,27.566185017421088,High_spent_Medium_value_payments,268.7958181760127,Standard
1017,Paul Carrelo,27.0,872423881.0,Scientist,18060.64,1280.0533333333333,8.0,7.0,23.0,24.0,"Debt Consolidation Loan, Personal Loan, and Auto Loan",29.0,194.0,3.13,56.0,Bad,1384.96,30.045660907849697,209.5,Yes,30.223229066865592,19.978289803871007,Low_spent_Small_value_payments,293.4175097757499,Poor
1019,Taiga Uranakab,30.0,155762267.0,Media_Manager,14432.87,1185.7391666666667,3.0,7.0,7.0,8.0,Home Equity Loan,5.125,63.0,10.345,24.0,Good,941.79,31.209440982671303,391.5,No,6.412118995076589,30.78848656743008,Low_spent_Small_value_payments,299.2942721542441,Good
1029,Arunaz,31.0,913613427.0,Writer,20942.88,1671.24,9.0,10.0,32.0,48.0,"Payday Loan, Mortgage Loan, Student Loan, Not Specified, Payday Loan, and Home Equity Loan",23.0,200.0,27.945,96.0,Bad,4247.08,33.789158427628955,26.5,Yes,64.15431186858476,37.53872979921732,Low_spent_Large_value_payments,280.0539987031916,Poor
